decision_id,decision,review_text
20GDHes124SX,rejected,I did not like it
50SVTiz216GQ,rejected,I did not like it
09RSCra197SG,accepted,It is well worth reading
02HJLmi144BW,accepted,It is well worth reading
81FGQrb579WA,accepted,I recommend reading it
14YBIcx863XC,accepted,A brilliantly researched piece of work
98IDNxh826ZV,accepted,A brilliantly researched piece of work
75UCWrt196YO,accepted,I recommend reading it
43GQBwq363JV,rejected,"The topic is dealt with superficially, I was expecting something more"
14AWSfl787IG,accepted,Perfection
26AHLyw135EX,accepted,I recommend reading it
33QQMfx249RZ,rejected,Awful
04PEKgh232NP,rejected,"The topic is dealt with superficially, I was expecting something more"
30IXUov378TV,rejected,I did not like it
13KMInt426QD,accepted,It is well worth reading
53QZZjz375ZE,rejected,Awful
42XGDkr712CK,accepted,Perfection
86DJAnj007HW,accepted,Perfection
21LXRls209LL,accepted,I was blown away by this paper
20CSQiq207CB,accepted,A brilliantly researched piece of work
22ZDFsj515AA,accepted,I recommend reading it
46AMUbn942PK,accepted,I was blown away by this paper
38JMSwf402BY,rejected,Awful
60ROJtv189GY,accepted,I was blown away by this paper
58GTIgb454AA,accepted,I was blown away by this paper
55QNGbe342FJ,accepted,Perfection
43RALjt754WE,accepted,I was blown away by this paper
24ICVku361EK,accepted,It is well worth reading
48YMFis599NS,rejected,I do not recommend reading it
15VLAjc398PB,rejected,It was a waste of time
17SQZzi890ZG,accepted,A brilliantly researched piece of work
15IUEdg081YZ,accepted,A brilliantly researched piece of work
71REEqb179FN,accepted,I recommend reading it
04VBTtx218DH,rejected,It was a waste of time
16EXYqm673HM,accepted,I recommend reading it
64JYVtw176GW,accepted,A brilliantly researched piece of work
42QHUug356JL,rejected,I did not like it
95TWQrd175AI,accepted,I recommend reading it
23GJSxs174YD,rejected,I do not recommend reading it
32OBCdj469SX,accepted,Perfection
04UFJmi882VP,rejected,It was a waste of time
52QEBlm695KU,accepted,A brilliantly researched piece of work
84YUKss931OY,rejected,"The topic is dealt with superficially, I was expecting something more"
16WQDuc552PK,accepted,I was blown away by this paper
82DXJmc942NO,accepted,It is well worth reading
37AXHgr233PT,accepted,It is well worth reading
04EHYbb568WY,accepted,A brilliantly researched piece of work
82OZCwt045DN,accepted,Perfection
71OYTiq360PR,accepted,A brilliantly researched piece of work
52ETHuf843PK,accepted,I recommend reading it
76TOMri907XK,accepted,I recommend reading it
44FEXre742JS,accepted,It is well worth reading
22ETRoz429ZN,accepted,Perfection
67XWDce347PU,accepted,A brilliantly researched piece of work
51TZJtq736EN,accepted,Perfection
70VSSje090WM,accepted,Perfection
48ROTee798XT,accepted,Perfection
63YTAox537WN,rejected,I do not recommend reading it
94FMBst940WU,accepted,Perfection
52DNRmg529ZF,accepted,Perfection
12EKCis947SL,rejected,I do not recommend reading it
91CDNgf844AG,accepted,Perfection
40GONrz968IT,accepted,A brilliantly researched piece of work
08BDTil835CF,accepted,Perfection
76LZWxf351VM,rejected,"The topic is dealt with superficially, I was expecting something more"
96RCLyf796RT,accepted,A brilliantly researched piece of work
25GWTuj449PY,rejected,It was a waste of time
14MAJnt367DR,accepted,It is well worth reading
27THCig032KF,rejected,It was a waste of time
79TOAsv144HL,accepted,I was blown away by this paper
65VQAum236TC,accepted,A brilliantly researched piece of work
46KBAop140AD,accepted,Perfection
25XRFbq133AK,accepted,Perfection
53TVMnt162FY,accepted,I recommend reading it
83SAMdu434VQ,accepted,I recommend reading it
57PDTyf015ID,rejected,It was a waste of time
27JSWue135TI,rejected,It was a waste of time
66FZRob755LO,accepted,I recommend reading it
11NUChs098AW,accepted,It is well worth reading
65PAQyl816EM,rejected,I did not like it
42LVDrm733UX,rejected,It was a waste of time
62ATAfo396DB,rejected,Awful
28JCDab737WN,accepted,I was blown away by this paper
10JGEfs580UD,rejected,I did not like it
91IFViw848JW,accepted,Perfection
28LEPoe619CK,accepted,A brilliantly researched piece of work
07VBRhp162ND,accepted,I recommend reading it
66KXEak261SZ,accepted,I recommend reading it
18GIRdj496JH,accepted,A brilliantly researched piece of work
03EHGfb654SP,accepted,I recommend reading it
81GKSrj691VH,accepted,A brilliantly researched piece of work
13TISka560UP,rejected,"The topic is dealt with superficially, I was expecting something more"
82BXFpr682GI,accepted,I was blown away by this paper
22UQMcm304WY,accepted,It is well worth reading
68IENbz319OE,accepted,Perfection
32BADkz920PE,accepted,It is well worth reading
99YJPen698QP,accepted,It is well worth reading
17GBHdc541QO,accepted,A brilliantly researched piece of work
95SHCqo288XN,accepted,A brilliantly researched piece of work
27TQIzf850YB,accepted,I was blown away by this paper
32GEWgg874YJ,accepted,A brilliantly researched piece of work
52ILBwc568SV,accepted,I was blown away by this paper
79LUCha032PO,accepted,Perfection
41VFLcg377EV,accepted,Perfection
06IWLjo785IM,accepted,It is well worth reading
79PGCli029RP,accepted,I recommend reading it
65OYGnx000PE,rejected,I did not like it
19IOSna032TO,accepted,It is well worth reading
85LZOxp927UK,accepted,It is well worth reading
88RVBai352WU,accepted,It is well worth reading
89XEDll792BS,accepted,I recommend reading it
97GCQlo511JA,accepted,I was blown away by this paper
67ERBle863IM,rejected,Awful
04HLCkp921QB,accepted,I was blown away by this paper
42UXJdd241OV,accepted,Perfection
31XPTzy803ND,accepted,A brilliantly researched piece of work
35FBQxw038FC,rejected,Awful
65QKJmw330OE,accepted,It is well worth reading
48QZYea318RV,accepted,I was blown away by this paper
51SQIww066LK,accepted,It is well worth reading
95SKNmm975MC,accepted,I recommend reading it
29FOYhb253ZH,accepted,I recommend reading it
86MSUbx940IM,accepted,I was blown away by this paper
78LGGbo682PM,accepted,Perfection
40BCIru900QA,accepted,A brilliantly researched piece of work
92FMFua288AG,rejected,Awful
91JWVwp914FC,accepted,It is well worth reading
75JGAqn240BY,accepted,I was blown away by this paper
80QJQzd772TB,accepted,I was blown away by this paper
17KYWdc566BO,rejected,I do not recommend reading it
46OKBwg565II,accepted,I was blown away by this paper
10CTNdo808QP,rejected,"The topic is dealt with superficially, I was expecting something more"
61EHWdh291LV,accepted,I recommend reading it
11WNXgy908GA,accepted,Perfection
32PJVll912CV,rejected,"The topic is dealt with superficially, I was expecting something more"
44BIIzz200CK,accepted,I recommend reading it
37CCKrk160UM,rejected,"The topic is dealt with superficially, I was expecting something more"
09SQBdb712ES,accepted,A brilliantly researched piece of work
34RCPnn510UG,accepted,I recommend reading it
65NIAko517MG,accepted,I was blown away by this paper
08EWJcs776PP,accepted,I recommend reading it
76KMQrx813KI,accepted,A brilliantly researched piece of work
05SMHnm292GB,accepted,I recommend reading it
37JDQrb864WN,accepted,Perfection
